Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"Reflecting on my own team, since the last survey",,,,,,,,,,,,"Reflecting on my own team, since the last survey",,,,,,,,,,"Reflecting on my interactions with other people I work with, outside my team, since the last survey",,,,,,,
,,,,,,,,,I felt fully included as a member of the team.,I was trusted to do my job.,I was encouraged to use my skills and knowledge.,I felt the effort I put in was equal to the reward I took out.,I understood what was expected of me in my role.,I was acknowledged or recognised for good work.,My workload was manageable.,I was enabled to make decisions about my own work schedule or priorities.,I felt satisfied.,I felt secure about my role/position in the team.,I was committed to our team's current plan.,I felt supported to balance my work/life needs.,"I felt safe to make a mistake, knowing I could learn from it.",I felt accepted for my differences.,I was encouraged to ask for help when I needed it.,I noticed people were willing to share ideas and concerns.,New ideas were welcomed.,I felt genuinely cared for.,I felt listened to.,I felt connected to my team.,I felt respected by my team.,Information was shared openly.,"I felt safe to make a mistake, knowing I could learn from it.",I felt accepted for my differences.,I was encouraged to ask for help when I needed it.,I noticed people were willing to share ideas and concerns.,New ideas were welcomed.,I felt genuinely cared for.,I felt listened to.,Information was shared openly.
1.18995E+11,462686296,2025-11-09 16:59:33,2025-11-09 17:07:52,182.1.194.227,,,,,All of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Not at all,All of the time,All of the time,Most of the time,All of the time,All of the time,Some of the time,Most of the time,Rarely,Most of the time,Not at all,All of the time,All of the time,All of the time,All of the time,Most of the time,Some of the time,All of the time
1.18995E+11,462686296,2025-11-09 16:25:24,2025-11-09 16:28:06,125.167.112.118,,,,,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time
1.18995E+11,462686296,2025-11-09 16:08:51,2025-11-09 16:13:38,114.125.173.13,,,,,All of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,Not at all,All of the time,All of the time,All of the time,All of the time,N/A,N/A,All of the time,Most of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,All of the time,N/A,N/A,All of the time,Most of the time,All of the time,All of the time,All of the time,All of the time
1.18995E+11,462686296,2025-11-08 23:38:45,2025-11-09 06:37:15,114.125.184.125,,,,,Most of the time,Most of the time,Most of the time,Not at all,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Not at all,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Not at all,Some of the time,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time
1.18995E+11,462686296,2025-11-08 20:36:43,2025-11-08 20:40:32,114.125.219.18,,,,,All of the time,All of the time,Some of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Most of the time,All of the time,All of the time,Some of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,Most of the time,All of the time
1.18994E+11,462686296,2025-11-08 11:43:28,2025-11-08 14:47:35,114.125.216.253,,,,,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time
1.18995E+11,462686296,2025-11-08 13:38:28,2025-11-08 13:55:12,114.125.200.209,,,,,All of the time,Most of the time,Most of the time,Some of the time,Some of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Most of the time,Not at all,Most of the time,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Most of the time,Most of the time,Some of the time,Not at all,Most of the time,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Some of the time
1.18995E+11,462686296,2025-11-08 13:38:47,2025-11-08 13:55:09,114.125.170.180,,,,,All of the time,Most of the time,Most of the time,Some of the time,Some of the time,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,Most of the time,Not at all,Most of the time,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Most of the time,Most of the time,Some of the time,Not at all,Most of the time,All of the time,Most of the time,Some of the time,All of the time,Most of the time,Some of the time
1.18994E+11,462686296,2025-11-08 11:52:30,2025-11-08 11:57:45,155.190.51.179,,,,,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time
1.18994E+11,462686296,2025-11-08 11:31:31,2025-11-08 11:54:11,114.125.220.179,,,,,Some of the time,All of the time,Most of the time,All of the time,Most of the time,All of the time,Some of the time,All of the time,All of the time,Most of the time,Some of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Some of the time,Not at all,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
1.18994E+11,462686296,2025-11-08 11:36:09,2025-11-08 11:43:45,182.1.166.245,,,,,All of the time,All of the time,Some of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,All of the time,Most of the time,Some of the time,Most of the time,All of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Some of the time,Most of the time,All of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time
1.18994E+11,462686296,2025-11-08 11:28:37,2025-11-08 11:41:11,114.10.135.208,,,,,All of the time,All of the time,All of the time,Some of the time,Most of the time,Most of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Some of the time,Some of the time,Some of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,Most of the time,All of the time,All of the time,Most of the time,Most of the time,All of the time,All of the time,All of the time,Most of the time
1.18994E+11,462686296,2025-11-08 07:17:11,2025-11-08 07:24:56,114.125.168.42,,,,,Most of the time,Most of the time,Rarely,All of the time,All of the time,All of the time,Most of the time,Most of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,Some of the time,Some of the time,Most of the time,All of the time,Most of the time,All of the time,Most of the time,All of the time,All of the time,Most of the time,Some of the time,Most of the time,Some of the time,All of the time
1.18994E+11,462686296,2025-11-08 05:47:05,2025-11-08 05:51:46,182.1.178.100,,,,,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,All of the time,Most of the time,Most of the time,All of the time,All of the time,Most of the time,All of the time,All of the time,All of the time,Most of the time,All of the time,Most of the time,Most of the time,Most of the time
1.18994E+11,462686296,2025-11-08 04:54:44,2025-11-08 05:10:29,180.251.146.252,,,,,All of the time,All of the time,All of the time,Not at all,All of the time,Most of the time,All of the time,Some of the time,Not at all,Most of the time,All of the time,Some of the time,,,,,,,,,,,,,,,,,,
1.18994E+11,462686296,2025-11-07 19:19:54,2025-11-07 19:51:18,180.251.156.241,,,,,All of the time,All of the time,Most of the time,Some of the time,All of the time,All of the time,Most of the time,Some of the time,Some of the time,All of the time,Some of the time,All of the time,Not at all,All of the time,Most of the time,Some of the time,Some of the time,All of the time,Rarely,All of the time,Some of the time,Some of the time,Not at all,All of the time,Most of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time
1.18994E+11,462686296,2025-11-07 13:12:58,2025-11-07 13:25:03,180.251.158.217,,,,,All of the time,All of the time,All of the time,Some of the time,All of the time,Some of the time,All of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Not at all,Some of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,All of the time,Some of the time,Some of the time,Not at all,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time
1.18994E+11,462686296,2025-11-07 11:48:38,2025-11-07 11:57:03,36.73.46.36,,,,,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Most of the time,Most of the time,All of the time,Most of the time,All of the time,Not at all,Most of the time,All of the time,All of the time,All of the time,Most of the time,All of the time,Most of the time,Most of the time,All of the time,Not at all,Most of the time,All of the time,All of the time,All of the time,Most of the time
1.18993E+11,462686296,2025-11-06 20:46:10,2025-11-06 21:03:06,114.125.188.149,,,,,All of the time,All of the time,All of the time,Some of the time,Most of the time,Rarely,All of the time,Not at all,Rarely,All of the time,All of the time,Rarely,Not at all,All of the time,Some of the time,Most of the time,All of the time,Rarely,Rarely,Most of the time,Most of the time,All of the time,Not at all,All of the time,Rarely,Most of the time,All of the time,Rarely,Rarely,All of the time
